UID	tcga_dd_a118_01a_bed	tcga_dd_aadd_01a_bed	tcga_xr_a8tg_01a_bed	tcga_xr_a8tc_01a_bed	tcga_xr_a8te_01a_bed	tcga_bc_a10q_01a_bed	tcga_ed_a82e_01a_bed	tcga_2y_a9h2_01a_bed	tcga_cc_a3ma_01a_bed	tcga_2y_a9h5_01a_bed	tcga_cc_5258_01a_bed	tcga_dd_a1ec_01a_bed	tcga_4r_aa8i_01a_bed	tcga_dd_a11b_01a_bed	tcga_dd_aaw1_01a_bed	tcga_bc_a10z_01a_bed	tcga_dd_aadl_01a_bed	tcga_dd_a11c_01a_bed	tcga_dd_a1ee_01a_bed	tcga_zp_a9d0_01a_bed	tcga_dd_a1eb_01a_bed	tcga_dd_a1ei_01a_bed	tcga_dd_aack_01a_bed	tcga_zp_a9cv_01a_bed	tcga_dd_aad1_01a_bed	tcga_bc_a10w_01a_bed	tcga_bc_4073_01b_bed	tcga_cc_5263_01a_bed	tcga_dd_a1eh_01a_bed	tcga_cc_5264_01a_bed	tcga_dd_a113_01a_bed	tcga_dd_a4nv_01a_bed	tcga_dd_aaca_02a_bed	tcga_bc_a8yo_01a_bed	tcga_dd_aaw0_01a_bed	tcga_ub_a7mc_01a_bed	tcga_ed_a7xp_01a_bed	tcga_g3_a3ck_01a_bed	tcga_dd_aadg_01a_bed	tcga_fv_a3r2_01a_bed	tcga_ed_a627_01a_bed	tcga_dd_a73f_01a_bed	tcga_wx_aa46_01a_bed	tcga_ep_a26s_01a_bed	tcga_dd_aadv_01a_bed	tcga_2y_a9ha_01a_bed	tcga_ub_a7mb_01a_bed	tcga_2y_a9gs_01a_bed	tcga_k7_a5rg_01a_bed	tcga_qa_a7b7_01a_bed	tcga_dd_a4nj_01a_bed	tcga_g3_a25u_01a_bed	tcga_2y_a9gz_01a_bed	tcga_zp_a9d4_01a_bed	tcga_lg_a6gg_01a_bed	tcga_bc_a10y_01a_bed	tcga_dd_aadp_01a_bed	tcga_zs_a9cf_02a_bed	tcga_ni_a8lf_01a_bed	tcga_dd_a1eb_11a_bed	tcga_dd_a73c_01a_bed	tcga_ed_a4xi_01a_bed	tcga_ep_a12j_01a_bed	tcga_dd_a73e_01a_bed	tcga_dd_a1ea_01a_bed	tcga_dd_a4ns_01a_bed	tcga_dd_aae2_01a_bed	tcga_ub_aa0u_01a_bed	tcga_dd_aacx_01a_bed	tcga_fv_a23b_01a_bed	tcga_g3_aav1_01a_bed	tcga_zp_a9d1_01a_bed	tcga_ed_a97k_01a_bed	tcga_gj_a9db_01a_bed	tcga_2y_a9gx_01a_bed	tcga_dd_aavz_01a_bed	tcga_dd_aacu_01a_bed	tcga_dd_aaca_01a_bed	tcga_dd_aad0_01a_bed	tcga_cc_5260_01a_bed	tcga_dd_a4na_01a_bed	tcga_dd_a4nd_01a_bed	tcga_dd_a114_01a_bed	tcga_g3_a6uc_01a_bed	tcga_dd_a4ni_01a_bed	tcga_dd_a11a_01a_bed	tcga_dd_a73b_01a_bed	tcga_dd_a73d_01a_bed	tcga_fv_a496_01a_bed	tcga_ep_a2kc_01a_bed	tcga_bc_a3kf_01a_bed	tcga_dd_a4no_01a_bed	tcga_cc_a7ih_01a_bed	tcga_dd_aavw_01a_bed	tcga_2y_a9hb_01a_bed	tcga_dd_a4nb_01a_bed	tcga_lg_a9qc_01a_bed	tcga_dd_a4ng_01a_bed	tcga_cc_a7ik_01a_bed	tcga_dd_aacs_01a_bed	tcga_t1_a6j8_01a_bed	tcga_fv_a3i1_01a_bed	tcga_ub_a7md_01a_bed	tcga_g3_a5sl_01a_bed	tcga_dd_aach_01a_bed	tcga_ed_a7px_01a_bed	tcga_cc_5261_01a_bed	tcga_cc_a3mb_01a_bed	tcga_zp_a9d2_01a_bed	tcga_dd_aadw_01a_bed	tcga_ed_a5kg_01a_bed	tcga_dd_aacn_01a_bed	tcga_ed_a66x_01a_bed	tcga_zp_a9cz_01a_bed	tcga_dd_aavs_01a_bed	tcga_2y_a9h9_01a_bed	tcga_ed_a8o5_01a_bed	tcga_bc_4072_01b_bed	tcga_2y_a9h8_01a_bed	tcga_g3_a5sj_01a_bed	tcga_g3_a5sm_01a_bed	tcga_rc_a7sb_01a_bed	tcga_3k_aaz8_01a_bed	tcga_dd_a1eg_01a_bed	tcga_g3_a25z_01a_bed	tcga_ub_a7me_01a_bed	tcga_ed_a7xo_01a_bed	tcga_rc_a6m5_01a_bed	tcga_mi_a75e_01a_bed	tcga_ed_a459_01a_bed	tcga_dd_aaeg_01a_bed	tcga_bw_a5nq_01a_bed	tcga_fv_a4zq_01a_bed	tcga_ya_a8s7_01a_bed	tcga_dd_a1el_01a_bed	tcga_cc_a9fw_01a_bed	tcga_cc_a5ue_01a_bed	tcga_dd_a1ej_01a_bed	tcga_bd_a3ep_01a_bed	tcga_dd_aadb_01a_bed	tcga_bc_a3kg_01a_bed	tcga_ub_a7ma_01a_bed	tcga_ed_a66y_01a_bed	tcga_g3_a7m6_01a_bed	tcga_fv_a2qr_01a_bed	tcga_cc_a3mc_01a_bed	tcga_g3_a25y_01a_bed	tcga_bc_a216_01a_bed	tcga_ed_a8o6_01a_bed	tcga_dd_a4nr_01a_bed	tcga_hp_a5mz_01a_bed	tcga_dd_aaee_01a_bed	tcga_ep_a2kb_01a_bed	tcga_bc_a112_01a_bed	tcga_gj_a3ou_01a_bed	tcga_cc_a9fs_01a_bed	tcga_g3_aav3_01a_bed	tcga_g3_aav7_01a_bed	tcga_xr_a8td_01a_bed	tcga_k7_aau7_01a_bed	tcga_bc_a10u_01a_bed	tcga_5c_a9vh_01a_bed	tcga_g3_a7m9_01a_bed	tcga_2y_a9h0_01a_bed	tcga_dd_aac8_01a_bed	tcga_fv_a3i0_01a_bed	tcga_dd_a1ef_01a_bed	tcga_g3_aav4_01a_bed	tcga_dd_aace_01a_bed	tcga_dd_aacv_01a_bed	tcga_2y_a9gw_01a_bed	tcga_2y_a9h7_01a_bed	tcga_ep_a3rk_01a_bed	tcga_dd_aacz_01a_bed	tcga_5c_a9vg_01a_bed	tcga_dd_aacp_01a_bed	tcga_dd_aacw_01a_bed	tcga_dd_a4nq_01a_bed	tcga_gj_a6c0_01a_bed	tcga_cc_a1ht_01a_bed	tcga_2y_a9h6_01a_bed	tcga_bc_a10r_01a_bed	tcga_bc_a10y_11a_bed	tcga_dd_aad3_01a_bed	tcga_bc_a10x_01a_bed	tcga_bc_a10t_01a_bed	tcga_dd_aaek_01a_bed	tcga_zp_a9cy_01a_bed	tcga_dd_a1ei_11a_bed	tcga_5r_aaam_01a_bed	tcga_fv_a23b_11a_bed	tcga_dd_a1ej_11a_bed	tcga_zs_a9cg_01a_bed	tcga_dd_a3a4_11a_bed	tcga_hp_a5n0_01a_bed	tcga_dd_a114_11a_bed	tcga_dd_a1ed_01a_bed	tcga_2y_a9gu_01a_bed	tcga_bd_a3er_01a_bed	tcga_g3_a3ch_01a_bed	tcga_dd_aady_01a_bed	tcga_fv_a3r3_01a_bed	tcga_dd_aad2_01a_bed	tcga_dd_aaw3_01a_bed	tcga_rc_a6m4_01a_bed	tcga_dd_a3a8_01a_bed	tcga_dd_aaw2_01a_bed	tcga_dd_aavy_01a_bed	tcga_dd_a4nf_01a_bed	tcga_dd_a39w_01a_bed	tcga_g3_a3cg_01a_bed	tcga_dd_a115_01a_bed	tcga_wj_a86l_01a_bed	tcga_pd_a5df_01a_bed	tcga_dd_aacy_01a_bed	tcga_kr_a7k0_01a_bed	tcga_cc_a7il_01a_bed	tcga_rc_a7sk_01a_bed	tcga_dd_a3a2_01a_bed	tcga_dd_a4nl_01a_bed	tcga_dd_a116_11a_bed	tcga_g3_a7m8_01a_bed	tcga_dd_a73a_01a_bed	tcga_zs_a9ce_01a_bed	tcga_zs_a9cd_01a_bed	tcga_g3_a25v_01a_bed	tcga_bd_a2l6_11a_bed	tcga_bc_a10r_11a_bed	tcga_bc_a10x_11a_bed	tcga_dd_a119_11a_bed	tcga_dd_a11a_11a_bed	tcga_dd_a1ek_01a_bed	tcga_bc_a10u_11a_bed	tcga_2y_a9gt_01a_bed	tcga_zs_a9cf_01a_bed	tcga_2y_a9gv_01a_bed	tcga_ub_aa0v_01a_bed	tcga_dd_a1ec_11a_bed	tcga_ep_a26s_11a_bed	tcga_dd_a1el_11a_bed	tcga_fv_a2qr_11a_bed	tcga_es_a2ht_11a_bed	tcga_k7_a5rf_01a_bed	tcga_g3_a3ch_11a_bed	tcga_5r_aa1d_01a_bed	tcga_dd_a11d_01a_bed	tcga_mr_a520_01a_bed	tcga_dd_aaei_01a_bed	tcga_fv_a3i1_11a_bed	tcga_bd_a3ep_11a_bed	tcga_dd_a119_01a_bed	tcga_wq_ab4b_01a_bed	tcga_es_a2hs_01a_bed	tcga_dd_a39v_01a_bed	tcga_fv_a4zp_01a_bed	tcga_dd_a3a7_01a_bed	tcga_dd_aads_01a_bed	tcga_cc_5259_01a_bed	tcga_cc_a123_01a_bed	tcga_dd_aaco_01a_bed	tcga_dd_aaeb_01a_bed	tcga_dd_aae4_01a_bed	tcga_dd_aacd_01a_bed	tcga_dd_aadn_01a_bed	tcga_dd_aacg_01a_bed	tcga_2y_a9h1_01a_bed	tcga_dd_aaci_01a_bed	tcga_dd_a3a6_01a_bed	tcga_dd_a73g_01a_bed	tcga_dd_aado_01a_bed	tcga_g3_aauz_01a_bed	tcga_g3_a3cj_01a_bed	tcga_dd_a39z_01a_bed	tcga_g3_a25x_01a_bed	tcga_bc_a69h_01a_bed	tcga_dd_aadi_01a_bed	tcga_kr_a7k7_01a_bed	tcga_dd_aaed_01a_bed	tcga_g3_aav0_01a_bed	tcga_wx_aa47_01a_bed	tcga_dd_a3a6_11a_bed	tcga_2y_a9h3_01a_bed	tcga_fv_a495_01a_bed	tcga_dd_a3a1_11a_bed	tcga_dd_aadu_01a_bed	tcga_dd_aae3_01a_bed	tcga_dd_a3a1_01a_bed	tcga_dd_a3a9_01a_bed	tcga_es_a2ht_01a_bed	tcga_dd_a3a3_01a_bed	tcga_dd_aae0_01a_bed	tcga_rc_a7sh_01a_bed	tcga_wq_a9g7_01a_bed	tcga_dd_aadf_01a_bed	tcga_cc_a7ig_01a_bed	tcga_g3_a25s_01a_bed	tcga_ed_a7py_01a_bed	tcga_dd_aadm_01a_bed	tcga_kr_a7k2_01a_bed	tcga_cc_5262_01a_bed	tcga_dd_aaca_02b_bed	tcga_ep_a2ka_01a_bed	tcga_dd_aavq_01a_bed	tcga_rc_a6m3_01a_bed	tcga_rc_a7s9_01a_bed	tcga_bc_a217_01a_bed	tcga_ep_a3jl_01a_bed	tcga_2v_a95s_01a_bed	tcga_cc_a8hv_01a_bed	tcga_dd_aae6_01a_bed	tcga_cc_a8ht_01a_bed	tcga_cc_a7ie_01a_bed	tcga_cc_a5uc_01a_bed	tcga_kr_a7k8_01a_bed	tcga_dd_aad5_01a_bed	tcga_cc_a5ud_01a_bed	tcga_cc_a7ii_01a_bed	tcga_dd_a39y_01a_bed	tcga_2y_a9gy_01a_bed	tcga_ed_a7pz_01a_bed	tcga_mi_a75c_01a_bed	tcga_dd_aacj_01a_bed	tcga_g3_a7m5_01a_bed	tcga_bc_a69i_01a_bed	tcga_dd_a3a5_01a_bed	tcga_bw_a5no_01a_bed	tcga_bc_a5w4_01a_bed	tcga_dd_a4np_01a_bed	tcga_dd_aaeh_01a_bed	tcga_mi_a75h_01a_bed	tcga_dd_aada_01a_bed	tcga_dd_aadr_01a_bed	tcga_2y_a9h4_01a_bed	tcga_dd_aae9_01a_bed	tcga_dd_aavr_01a_bed	tcga_dd_a3a2_11a_bed	tcga_dd_a4nk_01a_bed	tcga_dd_a4ne_01a_bed	tcga_dd_a39x_01a_bed	tcga_dd_aavu_01a_bed	tcga_dd_a116_01a_bed	tcga_dd_aacb_01a_bed	tcga_5c_aapd_01a_bed	tcga_dd_aac9_01a_bed	tcga_dd_aacc_01a_bed	tcga_dd_aadj_01a_bed	tcga_dd_aavp_01a_bed	tcga_g3_aav6_01a_bed	tcga_wx_aa44_01a_bed	tcga_g3_a25t_01a_bed	tcga_dd_aadq_01a_bed	tcga_dd_aacl_01a_bed	tcga_g3_a5sk_01a_bed	tcga_bc_a110_01a_bed	tcga_dd_aad6_01a_bed	tcga_dd_aaea_01a_bed	tcga_dd_aad8_01a_bed	tcga_dd_aae1_01a_bed	tcga_xr_a8tf_01a_bed	tcga_dd_aadc_01a_bed	tcga_cc_a8hs_01a_bed	tcga_cc_a8hu_01a_bed	tcga_cc_a9fu_01a_bed	tcga_rg_a7d4_01a_bed	tcga_rc_a6m6_01a_bed	tcga_dd_a4nh_01a_bed	tcga_bw_a5np_01a_bed	tcga_dd_aavv_01a_bed	tcga_mi_a75g_01a_bed	tcga_cc_a9fv_01a_bed	tcga_dd_aa3a_01a_bed	tcga_cc_a3m9_01a_bed	tcga_cc_a7ij_01a_bed	tcga_dd_aacf_01a_bed	tcga_g3_aav5_01a_bed	tcga_g3_aav2_01a_bed	tcga_k7_a6g5_01a_bed	tcga_o8_a75v_01a_bed	tcga_mi_a75i_01a_bed	tcga_dd_a4nn_01a_bed	tcga_dd_aadk_01a_bed	tcga_cc_a7if_01a_bed	tcga_ub_a7mf_01a_bed	tcga_bc_a10q_11a_bed	tcga_bc_a10t_11a_bed	tcga_dd_a11b_11a_bed	tcga_dd_a39v_11a_bed	tcga_dd_a39w_11a_bed	tcga_ep_a3rk_11a_bed	tcga_dd_a39x_11a_bed	tcga_dd_a3a4_01a_bed	tcga_g3_a3ci_01a_bed	tcga_dd_a1ee_11a_bed	tcga_dd_a3a8_11a_bed	tcga_fv_a3i0_11a_bed	tcga_ep_a12j_11a_bed	tcga_5r_aa1c_01a_bed	tcga_dd_aavx_01a_bed	tcga_dd_a11d_11a_bed	tcga_dd_a113_11a_bed	tcga_dd_aact_01a_bed	tcga_dd_aae7_01a_bed	tcga_dd_a11c_11a_bed	tcga_dd_a3a5_11a_bed	tcga_dd_a118_11a_bed	tcga_dd_a1eg_11a_bed	tcga_dd_a3a3_11a_bed	tcga_dd_a39z_11a_bed	tcga_bc_a10w_11a_bed	tcga_bc_a216_11a_bed	tcga_dd_a1eh_11a_bed	tcga_fv_a3r2_11a_bed	tcga_bc_a110_11a_bed	tcga_bc_a10z_11a_bed	tcga_lg_a9qd_01a_bed	tcga_bd_a2l6_01a_bed	tcga_ni_a4u2_01a_bed	tcga_dd_aacq_01a_bed	tcga_rc_a7sf_01a_bed	tcga_mr_a8jo_01a_bed	tcga_g3_a5si_01a_bed	tcga_bc_a10s_01a_bed	tcga_fv_a2qq_01a_bed	tcga_g3_a7m7_01a_bed
column_clusters-flat	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
FBXL15:ENSG00000107872:E5.1-E6.1|ENSG00000107872:E5.1-E7.1	0.13	-0.0	0.13	0.08	0.06	-0.0	0.09	-0.0	0.13	0.13	0.13	0.02	-0.0	-0.8	-0.8	-0.0	-0.0	0.01	0.13	0.13	0.10	0.06	-0.0	-0.0	-0.0	0.07	-0.0	0.05	0.13	-0.1	0.03	-0.0	0.13	0.13	-0.1	0.05	0.06	-0.0	-0.0	0.01	0.13	-0.1	-0.0	0.13	-0.0	-0.0	-0.0	-0.0	-0.0	-0.2	-0.8	-0.8	0.06	0.04	-0.0	-0.1	-0.0	0.13	0.13	-0.0	0.08	0.06	0.13	0.08	0.13	0.13	0.06	0.13	0.04	0.02	-0.0	0.01	0.13	-0.0	0.04	-0.0	0.0	0.13	-0.0	0.13	-0.1	0.13	-0.0	0.13	0.02	0.13	-0.8	0.06	-0.0	-0.3	-0.1	-0.0	-0.0	0.13	0.0	0.13	-0.0	0.13	-0.3	0.13	0.06	0.06	0.03	-0.0	-0.0	-0.3	0.13	-0.0	0.09	0.0	0.05	-0.0	-0.1	-0.0	0.13	0.13	0.06	0.13	0.07	0.13	-0.1	0.05	-0.0	-0.6	-0.1	-0.0	0.13	0.01	-0.1	0.05	-0.0	0.05	0.13	-0.1	-0.4	-0.0	0.0	-0.0	0.13	-0.0	-0.0	0.13	0.01	-0.0	-0.8	-0.2	0.0	-0.0	-0.1	-0.0	-0.2	-0.1	-0.3	0.13	0.13	0.13	-0.0	-0.0	-0.2	0.13	0.02	0.04	-0.1	-0.1	0.07	-0.1	-0.8	0.06	-0.0	-0.0	-0.1	-0.0	-0.0	0.13	-0.0	0.06	0.07	-0.2	0.13	-0.0	-0.0	0.13	0.04	0.09	0.05	0.13	-0.0	0.02	0.13	-0.0	-0.8	0.13	0.13	0.13	0.13	0.13	0.13	0.13	-0.1	-0.1	0.13	-0.0	-0.0	0.13	0.13	0.13	0.09	0.13	0.02	0.03	-0.8	0.01	0.09	0.13	0.02	0.13	0.13	0.13	0.13	0.13	0.13	0.13	-0.0	0.13	0.13	0.05	-0.8	-0.1	0.13	0.13	0.13	0.01	0.13	0.13	0.13	0.0	0.13	-0.0	0.03	-0.0	0.13	-0.0	0.06	0.13	0.01	0.13	-0.1	-0.1	0.13	0.13	-0.3	-0.8	-0.2	-0.8	-0.3	-0.5	-0.8	-0.8	-0.8	-0.8	-0.8	-0.8	0.13	-0.0	-0.8	-0.1	-0.8	0.04	-0.3	0.13	-0.0	-0.3	0.02	0.13	-0.2	-0.3	-0.3	-0.8	0.03	0.13	-0.0	-0.0	0.05	0.13	0.13	0.13	-0.8	0.10	-0.2	-0.2	-0.8	0.0	0.06	-0.3	0.06	-0.1	0.13	0.09	-0.1	0.13	0.13	-0.2	0.13	-0.8	-0.1	0.13	-0.0	-0.0	0.06	-0.0	-0.0	-0.8	-0.8	0.05	0.13	-0.8	-0.1	-0.3	-0.1	-0.2	0.13	-0.2	0.13	0.04	0.13	-0.8	-0.1	0.13	0.07	-0.1	-0.8	-0.8	-0.0	0.13	-0.0	-0.8	-0.8	-0.8	-0.1	0.03	0.01	-0.2	0.01	0.13	-0.0	0.13	0.13	-0.0	0.13	-0.1	-0.0	0.03	-0.8	0.01	-0.8	-0.8	-0.8	-0.2	-0.0	-0.1	0.13	-0.1	-0.2	-0.1	-0.8	0.13	-0.1	-0.0	0.13	0.13	0.07	-0.2	-0.0	-0.0	-0.1	-0.0	-0.0	0.13	-0.1	0.06	-0.0	0.04	-0.1	0.13	0.13	0.13	0.13	0.08	0.08	-0.8	0.06	-0.1	-0.8	-0.1	0.13	0.07	0.13	-0.1	0.0	0.13	0.13	0.13	-0.8	0.13	-0.3	0.13	-0.1	-0.8	0.13	-0.8	0.13	0.13	-0.0	0.02	0.09	0.08	0.13	0.13	-0.1	-0.1	0.13	0.01	-0.0	-0.0
BAIAP3:ENSG00000007516:E30.2-E31.1|ENSG00000007516:E26.1-E34.6	-0.3	-0.0	0.14	-0.7	0.24	0.15	-0.1	-0.1	0.03	0.19	-0.7	-0.4	0.17	0.10	0.12	-0.0	0.16	0.10	0.07	0.16	-0.1	-0.2	0.13	0.27	-0.0	0.01	0.02	0.05	0.16	-0.1	0.13	0.10	0.20	0.24	0.04	0.04	0.07	0.17	0.27	0.03	0.08	0.10	0.15	0.05	0.07	0.10	0.08	0.04	0.05	0.08	0.27	-0.0	0.18	0.08	0.20	0.07	0.08	0.10	-0.0	0.10	-0.0	0.07	0.16	0.15	0.15	0.25	-0.0	0.27	0.19	-0.0	0.20	0.08	0.02	0.06	0.20	0.18	0.09	0.08	0.16	-0.0	0.06	-0.7	-0.7	0.24	0.10	-0.0	-0.5	0.09	0.0	0.16	-0.0	0.07	0.09	0.13	0.04	-0.2	-0.0	-0.7	0.17	0.09	-0.2	-0.0	0.09	-0.0	0.0	-0.1	-0.7	-0.4	-0.1	0.15	0.15	-0.7	-0.7	0.08	-0.0	0.16	0.16	0.08	0.15	0.16	-0.0	0.0	-0.0	0.13	0.01	-0.0	0.17	-0.1	-0.0	-0.1	0.06	0.04	-0.2	-0.3	-0.0	0.10	0.16	-0.0	-0.7	-0.7	0.0	-0.3	0.20	0.12	0.04	0.16	-0.0	-0.0	-0.7	-0.0	0.0	-0.0	-0.4	-0.2	-0.7	-0.0	-0.3	-0.7	-0.0	-0.0	0.05	0.06	-0.3	-0.0	0.13	-0.4	-0.7	0.08	0.07	0.27	0.02	-0.7	0.08	-0.7	-0.3	0.03	-0.7	0.02	0.19	-0.3	-0.1	0.06	0.12	0.16	0.12	0.08	0.20	0.09	-0.0	0.12	0.06	0.08	0.12	0.04	0.10	-0.0	-0.0	0.20	0.08	0.13	0.17	0.10	0.13	0.12	0.14	0.18	0.16	0.03	0.09	0.21	0.16	0.08	0.05	-0.1	0.13	0.05	0.16	0.17	-0.1	-0.7	-0.0	-0.1	0.08	-0.0	-0.4	0.18	0.07	0.14	0.20	0.0	0.08	-0.1	0.06	0.04	0.15	-0.7	0.08	0.15	0.20	0.02	0.20	0.06	0.07	0.04	-0.3	0.15	-0.2	0.08	0.18	0.18	-0.1	-0.5	-0.4	-0.5	-0.5	-0.5	-0.5	-0.7	-0.7	-0.7	-0.5	-0.6	-0.7	-0.3	-0.3	-0.4	-0.6	-0.7	-0.6	-0.7	-0.5	-0.2	0.06	-0.3	-0.3	-0.6	-0.3	-0.7	-0.0	-0.1	-0.1	-0.7	-0.3	-0.2	-0.0	0.12	-0.1	-0.7	-0.1	0.03	-0.7	-0.2	0.19	-0.2	-0.2	-0.1	-0.3	-0.3	-0.1	-0.3	0.08	0.06	-0.0	-0.1	0.04	0.15	-0.2	-0.3	-0.7	0.05	0.07	-0.3	-0.7	-0.1	0.02	-0.2	-0.5	-0.1	-0.0	-0.1	0.08	-0.1	-0.3	-0.0	-0.1	-0.2	-0.1	0.20	-0.4	-0.0	-0.7	-0.3	-0.0	-0.0	-0.7	0.09	-0.7	-0.7	-0.0	-0.1	-0.4	-0.2	-0.0	-0.1	-0.3	-0.7	-0.5	-0.0	-0.0	-0.2	-0.4	-0.7	-0.7	0.07	-0.7	-0.0	-0.0	0.05	0.09	0.27	-0.7	-0.2	-0.1	0.0	0.10	-0.7	-0.0	-0.5	-0.0	-0.6	-0.3	-0.6	-0.6	-0.2	0.08	0.06	-0.0	-0.1	0.01	0.03	-0.0	0.14	-0.3	0.08	0.22	0.14	0.14	0.01	0.21	0.20	-0.1	0.12	0.13	-0.1	0.05	-0.7	-0.7	0.18	0.02	0.13	0.08	0.15	0.18	-0.1	-0.7	0.09	-0.0	0.19	-0.2	-0.0	0.06	0.09	0.27	-0.2	0.07	-0.0	-0.4	0.0	0.12	-0.1	-0.7	-0.0	-0.0	-0.3
NCL:ENSG00000115053:E6.2-E6.2|ENSG00000115053:E6.2-E6.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	-0.4	0.0	0.0	0.0	0.0	0.0	-0.3	-0.4	0.0	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3	0.0	0.0	-0.3	0.0	-0.4	0.0	0.0	-0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	0.0	0.0	-0.4	-0.4	0.0	-0.4	0.0	-0.4	0.0	-0.4	0.0	-0.3	-0.3	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	-0.4	0.0	0.0	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	0.0	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	0.0	-0.4	0.0	0.0	-0.4	-0.3	0.0	0.0	0.0	0.0	-0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1	-0.4	0.0	0.0	0.0	-0.0	-0.3	0.0	-0.4	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	-0.2	0.0	-1.0	0.0	-0.4	0.0	-0.4	-1.0	-1.0	0.0	0.0	-0.3	0.0	-0.3	-0.5	0.0	0.0	0.0	0.0	-0.4	0.0	-0.3	-0.4	-0.3	0.0	0.0	0.0	0.0	-0.4	-0.4	-0.4	-0.4	0.0	0.0	0.0	0.0	-0.5	-0.4	0.0	0.0	0.0	0.0	-0.4	-0.4	0.0	0.0	0.0	-0.0	0.0	-0.4	0.0	-0.4	0.0	0.0	-0.5	-0.4	0.0	-0.4	0.0	0.0	-0.4	0.0	-0.4	0.0	-0.5	-0.3	0.0	-0.4	-0.4	-0.5	-0.4	0.0	0.0	-0.3	-0.0	0.0	0.0	0.0	0.0	-0.4	0.0	-0.4	0.0	-0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	-0.4	0.0	-0.4	-0.2	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	-0.4	-0.4	0.0	0.0	0.0	0.0	0.0	-0.3	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	-0.3	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3	0.0	0.0	0.0	-0.4	-0.3	0.0	0.0	-0.3	-0.1	0.0	0.0	0.0	-0.4	0.0	-0.1	0.0
