UID	tcga_61_1911_01a_bed	tcga_30_1892_01a_bed	tcga_13_0888_01a_bed	tcga_30_1866_01a_bed	tcga_29_1777_01a_bed	tcga_04_1536_01a_bed	tcga_23_1028_01a_bed	tcga_13_0911_01a_bed	tcga_20_0991_01a_bed	tcga_29_1766_01a_bed	tcga_04_1542_01a_bed	tcga_23_1021_01b_bed	tcga_13_0765_01a_bed	tcga_13_1495_01a_bed	tcga_13_0891_01a_bed	tcga_29_1768_01a_bed	tcga_09_1661_01b_bed	tcga_20_0987_01a_bed	tcga_13_0913_02a_bed	tcga_13_0766_01a_bed	tcga_13_0795_01a_bed	tcga_13_0901_01b_bed	tcga_23_1107_01a_bed	tcga_23_1119_01a_bed	tcga_13_1496_01a_bed	tcga_23_1113_01a_bed	tcga_10_0927_01a_bed	tcga_29_1769_01a_bed	tcga_10_0933_01a_bed	tcga_20_1686_01a_bed	tcga_13_0724_01a_bed	tcga_04_1338_01a_bed	tcga_13_0714_01a_bed	tcga_10_0937_01a_bed	tcga_13_0920_01a_bed	tcga_30_1853_01a_bed	tcga_23_1110_01a_bed	tcga_30_1714_01a_bed	tcga_04_1347_01a_bed	tcga_30_1857_01a_bed	tcga_09_1665_01b_bed	tcga_13_0804_01a_bed	tcga_10_0938_01a_bed	tcga_13_0727_01a_bed	tcga_13_1409_01a_bed	tcga_61_1910_01a_bed	tcga_13_0762_01a_bed	tcga_61_2088_01a_bed	tcga_13_0768_01a_bed	tcga_13_0720_01a_bed	tcga_23_1109_01a_bed	tcga_13_0797_01a_bed	tcga_23_1118_01a_bed	tcga_13_1407_01a_bed	tcga_13_0886_01a_bed	tcga_09_1659_01b_bed	tcga_13_0726_01a_bed	tcga_10_0931_01a_bed	tcga_04_1356_01a_bed	tcga_24_0982_01a_bed	tcga_09_2053_01c_bed	tcga_10_0936_01a_bed	tcga_24_1464_01a_bed	tcga_23_1116_01a_bed	tcga_13_1509_01a_bed	tcga_13_1499_01a_bed	tcga_04_1343_01a_bed	tcga_04_1350_01a_bed	tcga_04_1655_01a_bed	tcga_29_1781_01a_bed	tcga_61_2102_01a_bed	tcga_09_2054_01a_bed	tcga_24_1850_01a_bed	tcga_61_1721_01a_bed	tcga_61_1733_01a_bed	tcga_04_1341_01a_bed	tcga_13_1488_01a_bed	tcga_13_0885_01a_bed	tcga_13_0884_01b_bed	tcga_13_0725_01a_bed	tcga_13_0887_01a_bed	tcga_13_1510_01a_bed	tcga_24_0966_01a_bed	tcga_13_0905_01b_bed	tcga_13_1487_01a_bed	tcga_13_1477_01a_bed	tcga_13_0730_01a_bed	tcga_13_0800_01a_bed	tcga_04_1648_01a_bed	tcga_04_1361_01a_bed	tcga_23_1122_01a_bed	tcga_04_1651_01a_bed	tcga_24_2020_01a_bed	tcga_24_1428_01a_bed	tcga_24_1430_01a_bed	tcga_61_2110_01a_bed	tcga_24_1431_01a_bed	tcga_13_1408_01a_bed	tcga_61_1736_01b_bed	tcga_vg_a8lo_01a_bed	tcga_24_1105_01a_bed	tcga_25_1317_01a_bed	tcga_24_2261_01a_bed	tcga_24_2297_01a_bed	tcga_57_1994_01a_bed	tcga_24_1470_01a_bed	tcga_61_2113_01a_bed	tcga_13_1403_01a_bed	tcga_24_1426_01a_bed	tcga_25_2399_01a_bed	tcga_25_1323_01a_bed	tcga_04_1362_01a_bed	tcga_25_1623_01a_bed	tcga_61_1995_01a_bed	tcga_57_1993_01a_bed	tcga_61_2109_01a_bed	tcga_25_1328_01a_bed	tcga_24_1422_01a_bed	tcga_24_2293_01a_bed	tcga_61_2098_01a_bed	tcga_24_1928_01a_bed	tcga_25_1318_01a_bed	tcga_61_2104_01a_bed	tcga_24_2033_01a_bed	tcga_57_1586_01a_bed	tcga_61_1741_01a_bed	tcga_25_2397_01a_bed	tcga_24_2298_01a_bed	tcga_30_1862_01a_bed	tcga_24_1845_01a_bed	tcga_23_2078_01a_bed	tcga_09_0369_01a_bed	tcga_36_1581_01a_bed	tcga_24_0970_01b_bed	tcga_09_0366_01a_bed	tcga_04_1530_01a_bed	tcga_29_1778_01a_bed	tcga_24_1467_01a_bed	tcga_24_1846_01a_bed	tcga_24_1923_01a_bed	tcga_24_1469_01a_bed	tcga_13_1485_01a_bed	tcga_wr_a838_01a_bed	tcga_24_2281_01a_bed	tcga_29_2414_02a_bed	tcga_5x_aa5u_01a_bed	tcga_09_0364_01a_bed	tcga_oy_a56q_01a_bed	tcga_04_1331_01a_bed	tcga_24_2271_01a_bed	tcga_61_2008_02a_bed	tcga_29_1707_02a_bed	tcga_13_1492_01a_bed	tcga_24_2288_01a_bed	tcga_24_2280_01a_bed	tcga_23_1120_01a_bed	tcga_29_a5nz_01a_bed	tcga_23_1114_01b_bed	tcga_24_2254_01a_bed	tcga_13_1505_01a_bed	tcga_24_2267_01a_bed	tcga_25_1329_01a_bed	tcga_23_1111_01a_bed	tcga_24_2036_01a_bed	tcga_31_1951_01a_bed	tcga_31_1950_01a_bed	tcga_25_1870_01a_bed	tcga_24_2262_01a_bed	tcga_24_2026_01a_bed	tcga_20_1682_01a_bed	tcga_09_2044_01b_bed	tcga_24_1616_01a_bed	tcga_24_1567_01a_bed	tcga_23_1023_01a_bed	tcga_61_1998_01a_bed	tcga_59_2355_01a_bed	tcga_13_1497_01a_bed	tcga_13_0906_01a_bed	tcga_24_1103_01a_bed	tcga_24_1550_01a_bed	tcga_25_2401_01a_bed	tcga_20_1687_01a_bed	tcga_09_0367_01a_bed	tcga_25_2400_01a_bed	tcga_25_1633_01a_bed	tcga_13_1501_01a_bed	tcga_13_0923_01a_bed	tcga_24_0968_01a_bed	tcga_13_1489_02a_bed	tcga_29_1761_01a_bed	tcga_30_1891_01a_bed	tcga_29_1701_01a_bed	tcga_29_2427_01a_bed	tcga_25_1877_01a_bed	tcga_13_1507_01a_bed	tcga_13_0924_01a_bed	tcga_23_1022_01a_bed	tcga_30_1860_01a_bed	tcga_13_0897_01a_bed	tcga_25_1627_01a_bed	tcga_13_1506_01a_bed	tcga_61_1725_01a_bed	tcga_13_1489_01a_bed	tcga_29_1696_01a_bed	tcga_61_1907_01a_bed	tcga_13_2060_01a_bed	tcga_30_1861_01a_bed	tcga_61_1914_01a_bed	tcga_13_1512_01a_bed	tcga_25_1634_01a_bed	tcga_24_1544_01a_bed	tcga_25_2393_01a_bed	tcga_25_2396_01a_bed	tcga_09_2056_01b_bed	tcga_61_1738_01a_bed	tcga_29_2425_01a_bed	tcga_23_1030_01a_bed	tcga_13_1498_01a_bed	tcga_04_1519_01a_bed	tcga_25_1632_01a_bed	tcga_29_2428_01a_bed	tcga_59_2351_01a_bed	tcga_29_2414_01a_bed	tcga_31_1959_01a_bed	tcga_24_1546_01a_bed	tcga_29_1691_01a_bed	tcga_29_1694_01a_bed	tcga_29_1705_01a_bed	tcga_61_1737_01a_bed	tcga_57_1582_01a_bed	tcga_61_2002_01a_bed	tcga_61_2009_01a_bed	tcga_25_2042_01a_bed	tcga_25_2404_01a_bed	tcga_24_1557_01a_bed	tcga_24_1553_01a_bed	tcga_24_1416_01a_bed	tcga_10_0928_01a_bed	tcga_23_1029_01b_bed	tcga_25_1322_01a_bed	tcga_36_1577_01a_bed	tcga_24_1562_01a_bed	tcga_24_1558_01a_bed	tcga_24_1424_01a_bed	tcga_25_1315_01a_bed	tcga_29_1783_01a_bed	tcga_24_1563_01a_bed	tcga_24_1419_01a_bed	tcga_24_1423_01a_bed	tcga_24_1930_01a_bed	tcga_24_1843_01a_bed	tcga_09_2048_01a_bed	tcga_09_1669_01a_bed	tcga_13_1410_01a_bed	tcga_24_0979_01a_bed	tcga_04_1364_01a_bed	tcga_24_1565_01a_bed	tcga_36_1570_01a_bed	tcga_25_1631_01a_bed	tcga_24_1427_01a_bed	tcga_24_1551_01a_bed	tcga_36_1568_01a_bed	tcga_61_2092_01a_bed	tcga_31_1944_01a_bed	tcga_13_0883_01a_bed	tcga_23_2077_01a_bed	tcga_61_2003_01a_bed	tcga_24_2027_01a_bed	tcga_23_1027_01a_bed	tcga_09_1662_01a_bed	tcga_23_1024_01a_bed	tcga_61_1900_01a_bed	tcga_24_1417_01a_bed	tcga_29_1697_01a_bed	tcga_31_1946_01a_bed	tcga_09_2051_01a_bed	tcga_23_2084_01a_bed	tcga_59_2354_01a_bed	tcga_36_1569_01a_bed	tcga_29_1703_01a_bed	tcga_61_1728_01a_bed	tcga_24_1924_01a_bed	tcga_24_2023_01a_bed	tcga_24_1560_01a_bed	tcga_13_1483_01a_bed	tcga_25_2391_01a_bed	tcga_59_2348_01a_bed	tcga_24_1603_01a_bed	tcga_24_1847_01a_bed	tcga_09_1666_01a_bed	tcga_24_1435_01a_bed	tcga_24_1549_01a_bed	tcga_36_1574_01a_bed	tcga_36_1576_01a_bed	tcga_61_2101_01a_bed	tcga_24_1552_01a_bed	tcga_24_2038_01a_bed	tcga_25_1319_01a_bed	tcga_57_1585_01a_bed	tcga_25_1316_01a_bed	tcga_23_1026_01b_bed	tcga_29_1690_01a_bed	tcga_29_1785_01a_bed	tcga_25_1635_01a_bed	tcga_29_1784_01a_bed	tcga_59_2352_01a_bed	tcga_31_1956_01a_bed	tcga_29_1711_01a_bed	tcga_29_1774_01a_bed	tcga_24_1418_01a_bed	tcga_24_1434_01a_bed	tcga_29_1770_01a_bed	tcga_24_2035_01a_bed	tcga_61_1919_01a_bed	tcga_29_1776_01a_bed	tcga_25_1630_01a_bed	tcga_09_1673_01a_bed	tcga_20_1683_01a_bed	tcga_23_1809_01a_bed	tcga_61_2000_01a_bed	tcga_04_1357_01a_bed	tcga_57_1583_01a_bed	tcga_61_2097_01a_bed	tcga_09_2045_01a_bed	tcga_29_1693_01a_bed	tcga_29_1688_01a_bed	tcga_29_1762_01a_bed	tcga_30_1718_01a_bed	tcga_59_2350_01a_bed	tcga_09_1667_01c_bed	tcga_13_0900_01b_bed	tcga_59_a5pd_01a_bed	tcga_61_2012_01a_bed	tcga_61_2008_01a_bed	tcga_61_2111_01a_bed	tcga_04_1332_01a_bed	tcga_25_1326_01a_bed	tcga_29_1710_01a_bed	tcga_29_1695_01a_bed	tcga_31_1953_01a_bed	tcga_13_0908_01b_bed	tcga_13_0893_01b_bed	tcga_25_2392_01a_bed	tcga_61_1918_01a_bed	tcga_61_1724_01a_bed	tcga_25_1312_01a_bed	tcga_09_1670_01a_bed	tcga_24_2290_01a_bed	tcga_13_1405_01a_bed	tcga_04_1365_01a_bed	tcga_09_1668_01b_bed	tcga_24_1425_01a_bed	tcga_29_1763_01a_bed	tcga_25_1628_01a_bed	tcga_36_1580_01a_bed	tcga_13_1411_01a_bed	tcga_24_1564_01a_bed	tcga_04_1514_01a_bed	tcga_24_1604_01a_bed	tcga_24_1474_01a_bed	tcga_25_1320_01a_bed	tcga_24_2289_01a_bed	tcga_25_2409_01a_bed	tcga_24_2024_01a_bed	tcga_25_2398_01a_bed	tcga_25_1626_01a_bed	tcga_25_1321_01a_bed	tcga_13_1511_01a_bed	tcga_24_1413_01a_bed	tcga_13_a5ft_01a_bed	tcga_13_1404_01a_bed	tcga_59_2363_01a_bed	tcga_24_1471_01a_bed	tcga_24_1104_01a_bed	tcga_24_1844_01a_bed	tcga_24_1842_01a_bed	tcga_13_0916_01a_bed	tcga_57_1584_01a_bed	tcga_23_1123_01a_bed	tcga_36_1571_01a_bed	tcga_25_1313_01a_bed
column_clusters-flat	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CBWD6:ENSG00000215126:E11.1-E12.1|ENSG00000215126:E11.1-E14.1	0.17	0.0	0.25	0.05	0.03	-0.1	-0.0	-0.2	0.04	0.13	0.19	-0.6	0.0	0.04	0.05	-0.4	-0.6	-0.0	-0.6	-0.0	-0.1	0.14	-0.3	-0.1	-0.0	0.07	-0.2	0.02	-0.1	-0.2	-0.2	0.04	-0.6	0.04	-0.1	0.01	-0.1	-0.2	-0.1	-0.1	0.18	0.15	0.19	0.08	0.16	0.33	0.14	0.07	0.18	0.12	0.06	-0.1	0.18	-0.0	0.20	-0.0	0.18	-0.0	0.17	0.17	0.06	0.08	-0.0	0.22	0.03	-0.0	-0.0	0.05	0.20	-0.0	-0.1	0.25	0.15	0.25	-0.1	0.01	-0.0	0.15	0.01	-0.2	0.13	0.05	-0.0	-0.0	-0.3	0.0	-0.0	-0.2	-0.0	0.02	-0.0	-0.0	-0.0	-0.0	-0.0	0.04	-0.0	0.07	0.15	-0.0	0.21	0.16	-0.2	0.08	-0.0	0.06	-0.0	-0.2	0.10	0.07	0.29	0.18	-0.0	-0.0	0.12	-0.0	0.04	0.04	0.09	0.02	-0.0	-0.0	0.16	0.13	-0.0	0.12	0.21	-0.0	0.13	0.02	0.06	-0.2	-0.1	-0.2	-0.0	-0.2	0.13	0.04	0.0	0.28	0.05	0.10	-0.1	-0.0	0.13	-0.1	0.12	0.22	0.0	0.14	0.24	0.14	-0.0	0.03	0.18	-0.0	0.05	-0.0	0.05	-0.0	0.02	-0.0	0.16	0.18	0.16	-0.0	0.02	0.12	-0.2	-0.2	-0.1	0.04	-0.3	-0.0	0.19	0.09	0.18	0.13	-0.2	-0.2	-0.2	-0.1	0.07	0.13	0.01	-0.1	0.0	0.01	0.08	-0.2	-0.3	0.15	-0.3	-0.1	-0.0	-0.6	0.08	-0.0	-0.0	-0.1	-0.0	0.02	0.05	-0.1	0.07	-0.0	0.02	-0.2	0.15	0.27	-0.1	0.12	0.17	0.05	-0.0	0.16	0.22	0.05	0.26	0.17	0.22	-0.2	-0.0	-0.1	0.05	-0.0	-0.1	-0.2	-0.0	-0.2	-0.1	-0.0	-0.2	-0.2	0.04	0.04	0.01	0.07	-0.1	0.04	-0.1	0.05	-0.0	0.02	0.05	0.17	-0.3	0.02	-0.0	-0.1	-0.0	0.05	-0.0	0.01	-0.0	0.02	0.16	-0.0	0.0	-0.3	-0.0	0.12	-0.0	-0.0	0.07	0.14	-0.0	0.05	-0.3	-0.0	0.05	-0.1	-0.1	0.0	-0.2	-0.0	-0.0	0.05	-0.2	-0.0	0.13	-0.0	-0.2	-0.0	-0.2	-0.1	-0.0	-0.0	-0.0	-0.1	-0.0	-0.0	-0.1	-0.2	0.32	0.08	0.22	-0.0	-0.0	0.17	-0.1	0.06	-0.0	-0.1	0.0	0.16	0.08	0.05	-0.1	0.07	-0.1	-0.4	-0.1	-0.0	-0.0	-0.0	0.05	0.05	-0.1	0.16	-0.0	0.06	0.16	0.16	0.25	0.05	-0.2	-0.2	-0.0	0.17	-0.0	0.06	0.15	0.17	-0.1	0.12	-0.1	-0.0	-0.0	-0.0	-0.2	-0.0	0.20	0.12	-0.0	0.18	0.15	-0.0	0.01	-0.1	-0.1	-0.0	-0.1	-0.1	0.03	-0.0	-0.1	-0.1	0.14	-0.1	0.18	0.05	0.15	-0.0	0.07	0.06	0.25	0.03	0.02	-0.1	-0.0	-0.0	0.13	0.14	0.12	0.04	-0.1	-0.2	0.10	0.19	0.16
ALS2CL:ENSG00000178038:I14.1_46679868-E15.1|ENSG00000178038:E14.1-E15.1	-0.0	-0.0	-0.0	-0.0	-0.0	0.01	-0.0	-0.0	-0.0	-0.0	0.35	-0.0	0.09	-0.0	0.43	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.15	-0.0	-0.0	-0.0	0.12	0.12	0.51	-0.0	0.13	0.18	0.07	0.29	0.13	-0.0	0.03	0.01	-0.0	-0.0	-0.0	-0.0	0.1	0.15	-0.0	-0.0	0.15	0.1	0.32	-0.0	-0.0	-0.0	-0.0	0.19	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.10	0.2	-0.0	0.27	-0.0	-0.0	-0.0	-0.0	0.03	0.07	0.13	0.43	-0.0	-0.0	0.03	0.26	-0.0	0.54	0.25	0.04	0.19	0.16	0.18	0.16	0.12	0.18	-0.0	0.00	0.3	0.15	0.26	0.09	0.00	0.13	0.09	0.10	0.13	0.04	0.03	-0.0	0.07	0.07	0.13	0.1	0.01	0.13	0.16	0.33	0.2	-0.0	0.22	-0.0	-0.0	0.37	0.16	-0.0	0.33	0.35	-0.0	0.01	-0.0	0.10	-0.0	0.07	0.03	0.16	-0.0	0.1	0.03	0.12	-0.0	-0.0	-0.0	-0.0	0.13	0.13	-0.0	0.15	0.15	0.37	-0.0	0.10	0.01	0.12	0.13	0.21	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.22	-0.0	0.03	-0.0	-0.0	0.21	-0.0	-0.0	-0.0	0.21	-0.0	-0.0	0.16	-0.0	-0.0	0.01	-0.0	-0.0	-0.0	-0.0	-0.0	0.22	-0.0	-0.0	-0.0	0.13	-0.0	-0.0	-0.0	-0.0	0.29	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.07	-0.0	0.03	0.16	0.07	0.26	0.39	-0.0	-0.0	-0.0	0.31	0.07	-0.0	-0.0	0.0	0.07	-0.0	0.1	0.3	0.1	0.01	0.0	-0.0	-0.0	-0.0	0.10	-0.0	0.03	0.06	0.06	0.29	0.16	0.0	-0.0	-0.0	0.04	0.29	-0.0	-0.0	0.18	0.10	0.21	0.2	0.21	0.00	0.55	-0.0	0.03	0.16	0.24	-0.0	0.38	0.13	-0.0	0.07	0.3	-0.0	-0.0	0.06	-0.0	-0.0	-0.0	-0.0	0.15	0.15	0.29	0.07	0.12	-0.0	0.03	0.36	0.21	0.0	0.1	0.21	0.25	0.55	-0.0	-0.0	0.18	0.1	-0.0	0.03	0.13	-0.0	0.03	0.13	0.04	0.07	-0.0	0.00	-0.0	-0.0	-0.0	-0.0	-0.0	0.07	-0.0	-0.0	0.15	-0.0	0.04	0.07	-0.0	0.2	-0.0	-0.0	-0.0	0.15	0.19	-0.0	0.07	-0.0	-0.0	0.29	-0.0	0.10	-0.0	0.0	-0.0	0.0	-0.0	0.10	0.2	0.00	0.13	-0.0	0.29	-0.0	0.33	-0.0	-0.0	0.10	0.45	0.16	0.0	-0.0	0.21	0.06	0.18	0.09	-0.0	0.03	0.09	-0.0	0.16	0.06	0.00	-0.0	0.18	0.03	-0.0	0.01	0.21	0.03	0.24	0.03	-0.0	-0.0	-0.0	0.13	0.39	0.06	-0.0	0.31	0.21	0.26	-0.0
AC138696.1:ENSG00000264668:I3.1-I5.1|ENSG00000264668:E3.1-E4.1	0.16	-0.0	-0.3	-0.1	-0.3	-0.1	-0.1	-0.0	0.03	-0.3	-0.0	-0.1	-0.2	-0.1	-0.1	-0.2	0.10	0.01	-0.3	-0.3	0.03	-0.3	-0.3	0.18	-0.1	-0.0	-0.1	-0.0	0.19	0.31	0.15	0.29	0.13	-0.1	-0.2	-0.0	0.12	-0.3	0.01	0.23	0.22	0.09	0.23	-0.1	0.03	0.3	0.19	0.09	0.03	-0.0	-0.0	0.16	0.10	-0.1	0.3	-0.0	0.0	-0.0	0.27	0.27	0.15	0.2	0.37	0.26	0.16	-0.0	0.04	-0.0	0.04	-0.0	0.22	-0.2	0.27	-0.3	-0.2	0.03	-0.1	-0.0	-0.0	-0.0	-0.0	-0.2	-0.1	-0.1	0.10	-0.1	-0.1	0.15	0.15	0.01	0.02	0.38	0.27	0.02	-0.0	-0.0	0.02	0.14	-0.1	0.07	0.3	0.0	0.07	0.07	0.24	0.22	0.24	0.15	0.16	0.25	0.15	0.02	0.03	0.16	0.15	-0.0	-0.0	0.10	0.03	0.15	0.19	0.19	0.12	0.3	0.09	0.04	-0.0	0.03	-0.1	0.15	0.32	0.14	0.16	0.03	-0.0	0.03	0.04	-0.0	0.06	-0.1	0.29	0.03	0.14	-0.0	0.27	0.06	0.21	0.04	0.13	-0.0	0.16	0.14	0.2	0.34	0.15	0.21	0.15	0.09	0.21	0.10	0.15	-0.0	0.0	0.23	0.15	0.29	-0.1	0.2	0.01	0.04	-0.1	-0.0	-0.3	0.03	-0.1	0.0	-0.1	0.09	0.0	-0.0	-0.0	-0.1	-0.1	-0.1	-0.0	0.15	-0.1	-0.0	-0.2	-0.1	-0.3	-0.3	-0.1	-0.2	-0.2	0.09	-0.1	-0.3	-0.1	-0.1	-0.1	-0.2	-0.0	-0.1	-0.1	-0.2	0.09	0.04	-0.1	-0.0	-0.1	-0.0	-0.0	-0.1	-0.3	-0.1	-0.1	0.04	-0.1	0.02	-0.1	-0.2	-0.0	0.06	-0.1	-0.0	-0.0	-0.0	-0.0	0.18	0.02	-0.0	-0.1	-0.0	0.03	-0.1	-0.0	-0.0	0.03	-0.0	-0.0	0.08	0.04	-0.0	-0.1	-0.1	-0.1	-0.0	-0.0	0.01	-0.0	0.06	-0.0	0.06	0.0	0.07	0.13	0.01	0.02	0.03	0.22	0.08	-0.1	0.23	-0.3	0.21	0.03	-0.1	-0.0	0.03	-0.0	-0.0	-0.0	-0.0	0.01	0.03	-0.1	0.01	0.04	-0.1	0.0	-0.1	-0.0	-0.0	-0.0	0.02	0.09	0.16	-0.0	-0.2	-0.0	-0.1	0.03	-0.0	0.0	-0.1	-0.1	-0.3	-0.0	-0.1	0.0	-0.1	-0.1	-0.1	-0.1	-0.0	-0.0	-0.2	0.21	0.03	0.10	-0.0	0.12	0.02	-0.2	-0.3	-0.1	-0.0	-0.0	0.01	0.04	-0.1	0.24	-0.0	-0.1	0.0	-0.2	-0.2	0.13	0.02	0.09	0.07	-0.0	-0.0	-0.1	0.06	0.02	0.07	0.03	0.02	0.07	-0.0	0.13	-0.0	-0.1	0.03	-0.0	0.02	-0.0	-0.1	0.14	0.3	0.07	0.07	0.07	0.24	0.18	-0.1	0.08	0.02	0.04	0.15	0.04	0.07	0.04	0.03	-0.0	-0.0	0.15	0.21	0.03	-0.0	0.01	0.04	-0.0	0.04	0.01	-0.0	0.01	0.25	0.15
HEXDC:ENSG00000169660:I9.1-E10.1|ENSG00000169660:E9.2-E10.2	-0.1	-0.1	0.37	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.0	-0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	0.19	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	0.31	0.0	0.13	0.31	0.19	-0.1	0.11	-0.1	0.09	0.03	0.18	0.37	0.22	0.18	0.13	0.18	0.06	-0.1	0.03	-0.0	0.07	0.19	0.02	0.07	0.13	0.01	0.41	0.03	0.18	0.04	-0.1	-0.1	-0.0	0.26	0.09	0.11	0.28	0.17	0.07	-0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.0	0.01	-0.1	-0.0	-0.1	0.07	0.01	0.0	0.02	-0.0	0.37	0.03	0.13	0.29	0.18	0.07	0.06	-0.0	0.1	0.37	0.19	0.12	0.24	0.13	0.21	0.07	0.18	0.09	0.32	-0.0	0.19	0.07	-0.0	-0.0	0.16	0.13	0.12	0.17	0.12	0.09	0.15	0.51	0.04	0.17	0.23	-0.0	0.05	0.32	0.06	0.13	0.07	0.0	0.35	0.1	0.09	0.13	-0.0	0.19	-0.1	0.12	0.01	-0.1	0.09	0.09	0.32	0.43	0.21	0.28	0.17	0.21	0.06	0.44	0.23	0.13	0.22	0.23	0.25	0.38	0.19	0.21	0.09	0.26	0.15	0.25	-0.0	-0.1	-0.1	-0.1	-0.0	-0.1	-0.1	-0.0	-0.1	-0.1	-0.0	-0.1	-0.1	0.1	-0.1	-0.1	-0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.0	-0.1	-0.0	-0.1	-0.1	0.01	-0.1	-0.1	-0.0	-0.1	-0.1	0.13	-0.1	-0.0	-0.0	0.08	-0.1	0.01	0.03	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.1	0.04	-0.0	-0.1	0.06	-0.1	-0.1	0.03	0.01	-0.0	-0.0	0.09	0.08	0.04	-0.0	-0.0	0.17	-0.1	0.01	0.11	-0.1	-0.1	0.01	0.12	0.23	0.03	-0.0	-0.0	0.0	-0.1	-0.0	0.15	-0.1	0.09	0.25	0.0	0.02	-0.0	-0.0	0.12	0.12	-0.0	-0.1	0.1	-0.0	-0.1	-0.0	-0.0	0.07	-0.0	0.06	-0.1	-0.1	-0.0	-0.1	0.13	0.0	0.0	-0.1	-0.0	0.02	-0.0	0.06	0.08	-0.0	0.06	0.1	-0.0	-0.0	-0.0	-0.0	0.19	-0.0	0.01	0.42	-0.0	-0.1	-0.1	-0.1	-0.0	-0.1	-0.0	-0.1	-0.1	0.05	0.03	0.12	0.35	-0.0	0.09	-0.0	-0.1	0.02	0.1	-0.0	-0.1	-0.1	-0.1	-0.0	0.03	0.02	0.05	0.03	0.17	0.17	-0.0	0.13	0.18	-0.0	0.0	0.08	0.04	0.02	-0.0	-0.1	0.13	0.03	0.11	0.02	-0.1	0.09	0.06	0.05	0.23	-0.0	0.12	0.02	-0.0	-0.1	0.05	0.09	0.11	0.5	0.04	0.24	0.05	0.03	0.13	0.15	-0.0	-0.0	-0.1	0.06	0.02	-0.0	0.02	-0.0	0.25	0.13	0.01
