uid	ESCA_DT:R2-V4	ESCA_DT:R2-V2	ESCA_DT:R2-V3	ESCA_DT:R2-V6	ESCA_DT:R2-V22	ESCA_DT:R2-V11	ESCA_DT:R2-V10	ESCA_DT:R1-V6	ESCA_DT:R1-V0	ESCA_DT:R3-V12	ESCA_DT:R3-V7	ESCA_DT:R3-V13	ESCA_DT:R3-V6	ESCA_DT:R3-V8	ESCA_DT:R3-V11	ESCA_DT:R3-V16	ESCA_DT:R3-V10	ESCA_DA:R1-V2	ESCA_DA:R1-V7	ESCA_DA:R1-V1	ESCA_DA:R1-V8	ESCA_DA:R3-V5	ESCA_DA:R3-V27	ESCA_DA:R3-V11	ESCA_DA:R3-V16	ESCA_DA:R3-V14	ESCA_BT:R2-V20	ESCA_BT:R2-V5	ESCA_BT:R2-V7	ESCA_BT:R2-V17	ESCA_BT:R2-V3	ESCA_BT:R2-V1	ESCA_BT:R2-V9	ESCA_BT:R2-V19	ESCA_BT:R2-V14	ESCA_BT:R1-V2	ESCA_BT:R3-V1	ESCA_BT:R3-V2	ESCA_BA:R2-V23	ESCA_BA:R2-V12	ESCA_BA:R2-V20	ESCA_BA:R2-V15	ESCA_BA:R2-V7	ESCA_BA:R2-V27	ESCA_BA:R2-V18	ESCA_BA:R2-V3	ESCA_BA:R2-V1	ESCA_BA:R2-V28	ESCA_BA:R2-V26	ESCA_BA:R2-V21	ESCA_BA:R2-V22	ESCA_BA:R2-V11	ESCA_BA:R2-V19	ESCA_BA:R1-V1
TCGA-IC-A6RE-01A-11R-A336-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A3I8-01A-11R-A24K-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A3QL-01A-11R-A24K-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0	0	0	1	0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
TCGA-IG-A3YA-01A-11R-A24K-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TCGA-IG-A3YB-01A-11R-A36D-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
TCGA-IG-A3YC-01A-11R-A24K-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
TCGA-IG-A4P3-01A-11R-A260-31	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0
TCGA-IG-A4QS-01A-11R-A260-31	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TCGA-IG-A5B8-01A-11R-A28J-31	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
TCGA-IG-A5S3-01A-11R-A28J-31	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
